"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Expert Info","Info"
"134","3.708206","192.168.1.205","192.168.1.151","TLSv1.2","96","6690","52803","","Application Data"
"135","3.708233","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=1512 Win=131008 Len=0 TSval=1225981962 TSecr=730073088"
"136","3.708253","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=1542 Win=131008 Len=0 TSval=1225981962 TSecr=730073088"
"137","3.708323","192.168.1.205","192.168.1.151","TLSv1.2","479","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"138","3.708324","192.168.1.205","192.168.1.151","TLSv1.2","284","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"139","3.708335","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=1955 Win=130624 Len=0 TSval=1225981962 TSecr=730073088"
"140","3.708341","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=2173 Win=130432 Len=0 TSval=1225981962 TSecr=730073089"
"141","3.708600","192.168.1.205","192.168.1.151","TLSv1.2","443","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"142","3.708604","192.168.1.205","192.168.1.151","TLSv1.2","473","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"143","3.708651","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=2550 Win=130688 Len=0 TSval=1225981963 TSecr=730073089"
"144","3.708662","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=2957 Win=130240 Len=0 TSval=1225981963 TSecr=730073089"
"145","3.708756","192.168.1.205","192.168.1.151","TLSv1.2","972","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"146","3.708758","192.168.1.205","192.168.1.151","TLSv1.2","525","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"147","3.708780","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=3863 Win=130112 Len=0 TSval=1225981963 TSecr=730073089"
"148","3.708786","192.168.1.151","192.168.1.205","TCP","66","52803","6690","","52803  >  6690 [ACK] Seq=2844 Ack=4322 Win=129664 Len=0 TSval=1225981963 TSecr=730073089"
"149","3.708860","192.168.1.205","192.168.1.151","TLSv1.2","997","6690","52803","","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
